"Date","Price","Open","High","Low","Vol.","Change %"
"06/13/2022","23.00","23.70","24.40","22.50","22.41K","-4.17%"
"06/10/2022","24.00","24.90","25.90","23.40","38.79K","2.13%"
"06/09/2022","23.50","25.00","25.00","23.50","27.56K","-6.00%"
"06/08/2022","25.00","23.30","25.00","23.00","26.58K","4.17%"
"06/07/2022","24.00","23.00","24.00","22.00","425.83K","-2.04%"
"06/06/2022","24.50","25.00","25.00","22.00","257.52K","-2.00%"
"06/03/2022","25.00","25.00","25.10","24.90","24.22K","-3.47%"
"06/02/2022","25.90","25.00","26.40","24.50","154.18K","3.60%"
"06/01/2022","25.00","25.00","25.00","24.30","223.34K","0.00%"
"05/31/2022","25.00","26.00","26.90","24.30","60.75K","-3.85%"
"05/30/2022","26.00","27.00","28.00","25.60","61.07K","-3.70%"
"05/27/2022","27.00","26.30","27.50","25.80","21.68K","0.00%"
"05/26/2022","27.00","28.00","28.00","26.00","33.91K","-1.82%"
"05/25/2022","27.50","28.50","28.50","27.50","46.12K","-6.46%"
"05/24/2022","29.40","30.50","30.50","26.10","79.77K","-0.68%"
"05/23/2022","29.60","30.00","31.40","29.10","386.31K","5.71%"
"05/20/2022","28.00","29.90","29.90","26.80","90.79K","5.66%"
"05/19/2022","26.50","28.00","30.50","26.50","88.98K","-5.36%"
"05/18/2022","28.00","32.00","35.00","25.20","592.86K","-11.11%"
"05/17/2022","31.50","27.00","31.90","27.00","670.89K","14.55%"
"05/13/2022","27.50","24.00","28.00","24.00","455.87K","16.53%"
"05/12/2022","23.60","22.30","24.00","21.10","67.04K","4.89%"
"05/09/2022","22.50","20.20","23.50","20.20","171.92K","-4.26%"
"05/06/2022","23.50","21.60","23.50","20.00","218.29K","2.17%"
"05/05/2022","23.00","23.90","23.90","22.00","12.50K","-4.17%"
"05/04/2022","24.00","26.50","27.50","23.70","23.16K","0.00%"
"04/29/2022","24.00","25.00","28.80","23.00","140.61K","0.00%"
"04/28/2022","24.00","22.00","28.00","21.00","599.36K","-2.04%"
"04/27/2022","24.50","20.00","25.00","19.00","270.08K","28.95%"
"04/26/2022","19.00","23.50","23.50","19.00","69.73K","-24.00%"
"04/25/2022","25.00","25.00","25.00","25.00","75.54K","-16.67%"
"04/08/2022","30.00","30.00","32.50","26.00","81.68K","0.00%"
"04/07/2022","30.00","32.00","32.00","28.00","305.67K","-6.25%"
"04/06/2022","32.00","36.50","36.50","31.90","188.05K","-8.57%"
"04/05/2022","35.00","35.50","36.00","31.50","121.67K","-5.15%"
"04/04/2022","36.90","30.00","39.60","30.00","129.43K","5.43%"
"04/01/2022","35.00","37.00","39.80","30.70","15.87K","-12.28%"
"03/31/2022","39.90","44.90","44.90","35.00","57.90K","-11.33%"
"03/30/2022","45.00","45.50","48.40","38.00","655.08K","-7.22%"
"03/29/2022","48.50","50.00","50.00","45.10","259.60K","-3.00%"
"03/28/2022","50.00","52.50","54.00","47.00","142.48K","-4.40%"
"03/25/2022","52.30","56.50","57.00","52.00","58.19K","-6.61%"
"03/24/2022","56.00","56.00","56.50","54.00","193.42K","0.00%"
"03/23/2022","56.00","55.10","58.90","55.10","321.44K","-0.18%"
"03/22/2022","56.10","58.40","59.00","56.10","18.11K","0.00%"
"03/21/2022","56.10","55.00","59.70","55.00","55.52K","-4.75%"
"03/18/2022","58.90","56.00","58.90","53.70","43.68K","2.43%"
"03/16/2022","57.50","53.00","57.90","52.00","236.25K","4.55%"
"03/15/2022","55.00","57.20","57.50","52.00","219.76K","-4.18%"
"03/14/2022","57.40","57.50","59.80","55.10","121.45K","-2.71%"
"03/11/2022","59.00","62.50","62.50","55.00","570.87K","-5.60%"
"03/10/2022","62.50","51.00","62.50","51.00","646.78K","15.96%"
"03/09/2022","53.90","60.00","62.90","48.10","369.93K","-9.56%"
"03/08/2022","59.60","63.30","65.00","55.00","463.17K","-5.40%"
"03/07/2022","63.00","70.00","70.90","62.00","489.47K","-5.97%"
"03/04/2022","67.00","64.30","69.00","64.30","459.64K","0.00%"
"03/03/2022","67.00","68.00","69.90","65.00","291.17K","0.00%"
"03/02/2022","67.00","68.60","72.00","66.60","509.37K","-2.19%"
"02/28/2022","68.50","65.00","71.00","64.00","1.41M","5.38%"
"02/25/2022","65.00","60.40","65.50","58.00","607.64K","2.52%"
"02/24/2022","63.40","63.00","67.00","60.20","698.69K","-3.79%"
"02/23/2022","65.90","68.00","69.00","59.50","459.37K","-4.35%"
"02/22/2022","68.90","68.90","70.50","66.00","303.85K","0.00%"
"02/21/2022","68.90","72.00","72.20","66.10","960.15K","-5.10%"
"02/18/2022","72.60","74.00","74.50","72.00","1.23M","-1.89%"
"02/17/2022","74.00","72.00","75.00","72.00","856.44K","2.78%"
"02/15/2022","72.00","72.00","73.50","72.00","953.73K","0.00%"
"02/14/2022","72.00","73.00","74.00","71.10","546.50K","-3.87%"
"02/11/2022","74.90","72.50","76.40","72.50","1.44M","2.74%"
"02/10/2022","72.90","69.00","73.30","69.00","610.35K","1.96%"
"02/09/2022","71.50","72.00","76.00","70.00","2.74M","-1.38%"
"02/08/2022","72.50","73.00","73.00","67.00","892.68K","2.98%"
"02/07/2022","70.40","70.10","74.00","70.00","2.71M","5.86%"
"02/03/2022","66.50","65.00","68.00","58.10","2.15M","2.31%"
"02/02/2022","65.00","71.00","75.00","58.50","2.40M","-5.80%"
"02/01/2022","69.00","76.00","90.00","66.50","8.72M","-6.50%"
"01/31/2022","73.80","60.00","73.80","60.00","6.66M","23.41%"
"01/28/2022","59.80","59.00","60.00","56.00","868.19K","2.57%"
"01/27/2022","58.30","59.00","62.80","55.00","1.44M","0.69%"
"01/26/2022","57.90","56.50","60.00","56.00","982.87K","-0.17%"
"01/25/2022","58.00","55.00","61.00","55.00","2.20M","-0.34%"
"01/24/2022","58.20","59.70","60.00","57.00","864.94K","-4.43%"
"01/21/2022","60.90","60.20","63.90","60.00","899.57K","1.50%"
"01/20/2022","60.00","62.00","65.00","59.90","2.33M","-6.25%"
"01/19/2022","64.00","65.50","67.00","62.50","1.84M","-1.54%"
"01/18/2022","65.00","72.50","74.00","64.00","1.56M","-8.96%"
"01/13/2022","71.40","58.90","71.50","58.90","4.21M","23.10%"
"01/12/2022","58.00","61.00","62.00","58.00","1.35M","-3.33%"
"01/11/2022","60.00","60.30","62.90","56.20","1.84M","0.00%"
"01/10/2022","60.00","61.00","68.00","58.00","3.49M","4.53%"
"01/07/2022","57.40","51.20","60.00","48.00","5.13M","14.80%"
"01/06/2022","50.00","40.00","50.00","40.00","4.05M","27.88%"
"01/05/2022","39.10","42.00","42.00","39.00","1.55M","-6.90%"
"01/04/2022","42.00","44.00","45.00","39.70","2.16M","-1.87%"
"01/03/2022","42.80","35.50","43.50","35.00","3.04M","21.94%"
"12/31/2021","35.10","36.20","36.90","33.90","1.54M","-0.28%"
"12/30/2021","35.20","32.00","36.30","30.90","1.78M","12.10%"
"12/29/2021","31.40","31.00","31.40","28.00","1.54M","-0.32%"
"12/28/2021","31.50","35.00","36.00","29.00","2.74M","-0.94%"
"12/27/2021","31.80","30.00","31.80","30.00","3.08M","19.55%"
"12/24/2021","26.60","23.00","26.60","22.50","3.47M","24.88%"
"12/23/2021","21.30","17.00","21.30","17.00","2.87M","25.29%"
"12/22/2021","17.00","16.90","17.30","16.40","367.56K","1.19%"
"12/21/2021","16.80","17.50","17.50","15.60","1.24M","0.00%"
"12/20/2021","16.80","15.60","17.10","15.40","3.67M","7.69%"
"12/17/2021","15.60","15.50","15.60","15.30","76.81K","0.65%"
"12/16/2021","15.50","15.30","15.90","15.00","180.56K","-1.90%"
"12/15/2021","15.80","16.00","16.00","15.50","126.20K","0.00%"
"12/14/2021","15.80","15.80","16.20","15.60","133.47K","-2.47%"
"12/13/2021","16.20","16.70","16.70","15.90","550.74K","0.00%"
"12/10/2021","16.20","15.90","16.70","15.80","828.48K","1.89%"
"12/09/2021","15.90","15.80","15.90","15.30","134.41K","6.00%"
"12/08/2021","15.00","14.50","16.20","14.30","400.51K","5.63%"
"12/07/2021","14.20","14.70","15.80","14.20","183.10K","-5.33%"
"12/06/2021","15.00","15.00","15.10","14.70","168.52K","0.00%"
"12/03/2021","15.00","16.00","16.00","14.70","569.10K","-6.83%"
"12/02/2021","16.10","15.50","16.30","15.50","794.28K","3.87%"
"12/01/2021","15.50","16.60","16.70","15.40","1.84M","-3.13%"
"11/30/2021","16.00","14.90","17.00","14.60","4.83M","8.84%"
"11/29/2021","14.70","13.50","14.90","13.50","2.94M","11.36%"
"11/26/2021","13.20","13.10","13.70","12.80","18.03K","1.54%"
"11/25/2021","13.00","13.50","13.80","13.00","59.72K","0.00%"
"11/24/2021","13.00","13.50","13.50","12.70","191.86K","-2.99%"
"11/23/2021","13.40","13.70","13.90","13.40","111.60K","-2.19%"
"11/22/2021","13.70","12.80","14.00","12.80","250.05K","11.38%"
"11/19/2021","12.30","12.90","12.90","12.20","72.56K","-5.38%"
"11/17/2021","13.00","13.30","13.30","12.70","779.30K","-2.26%"
"11/16/2021","13.30","13.50","13.80","12.80","512.60K","0.76%"
"11/15/2021","13.20","13.20","14.00","13.20","210.75K","-1.49%"
"11/12/2021","13.40","12.80","15.00","12.80","1.23M","9.84%"
"11/11/2021","12.20","12.20","12.30","12.20","12.40K","-2.40%"
"11/10/2021","12.50","12.50","12.60","12.10","19.32K","0.00%"
"11/09/2021","12.50","12.90","12.90","12.00","67.64K","4.17%"
"11/08/2021","12.00","12.20","13.00","12.00","12.72K","-1.64%"
"11/05/2021","12.20","12.60","12.60","12.20","35.59K","-1.61%"
"11/03/2021","12.40","12.50","12.60","12.40","156.61K","2.48%"
"11/02/2021","12.10","12.50","12.50","12.10","30.58K","-1.63%"
"11/01/2021","12.30","12.30","12.70","12.30","20.58K","-1.60%"
"10/29/2021","12.50","12.60","12.60","12.20","28.46K","0.00%"
"10/28/2021","12.50","12.40","12.80","12.30","122.26K","0.00%"
"10/27/2021","12.50","12.70","12.70","12.10","110.58K","-1.57%"
"10/26/2021","12.70","12.50","12.70","12.30","16.60K","1.60%"
"10/25/2021","12.50","12.30","12.50","12.00","48.05K","0.00%"
"10/22/2021","12.50","12.00","12.50","12.00","24.81K","3.31%"
"10/21/2021","12.10","12.10","12.10","12.10","7.01K","0.83%"
"10/18/2021","12.00","12.00","12.20","11.90","91.44K","-1.64%"
"10/15/2021","12.20","12.00","12.20","11.90","425.22K","2.52%"
"10/14/2021","11.90","12.10","12.10","11.90","79.55K","-0.83%"
"10/13/2021","12.00","12.30","12.60","12.00","175.10K","-2.44%"
"10/12/2021","12.30","12.20","12.30","12.20","2.48K","0.82%"
"10/11/2021","12.20","12.20","12.90","12.20","41.27K","-2.40%"
"10/08/2021","12.50","12.30","12.50","12.30","250.87K","1.63%"
"10/07/2021","12.30","12.10","12.40","12.10","15.72K","-1.60%"
"10/06/2021","12.50","12.20","12.50","12.10","72.40K","3.31%"
"10/05/2021","12.10","12.50","12.50","12.10","12.72K","-3.20%"
"10/04/2021","12.50","12.10","12.50","12.10","20.71K","4.17%"
"10/01/2021","12.00","12.30","12.80","12.00","117.78K","-4.76%"
"09/30/2021","12.60","12.00","12.70","12.00","111.68K","5.88%"
"09/29/2021","11.90","11.80","12.00","11.80","106.66K","0.85%"
