"Date","Price","Open","High","Low","Vol.","Change %"
"06/18/2018","39.70","40.00","40.00","39.70","3.81K","-0.75%"
"06/14/2018","40.00","40.00","40.00","40.00","4.00K","0.00%"
"06/13/2018","40.00","40.00","40.00","40.00","2.17K","0.00%"
"06/12/2018","40.00","39.90","40.00","39.90","3.04K","0.25%"
"06/11/2018","39.90","39.90","39.90","39.90","2.10K","-0.25%"
"06/08/2018","40.00","40.00","40.00","40.00","2.75K","-0.74%"
"06/07/2018","40.30","41.00","41.20","40.00","11.04K","1.00%"
"06/06/2018","39.90","41.00","41.00","39.90","5.01K","-0.25%"
"06/05/2018","40.00","40.00","41.00","40.00","7.00K","0.00%"
"06/04/2018","40.00","40.00","41.00","40.00","4.51K","-4.08%"
"06/01/2018","41.70","41.50","41.90","40.00","18.11K","4.25%"
"05/31/2018","40.00","41.90","41.90","39.60","4.75K","0.00%"
"05/30/2018","40.00","41.10","41.10","40.00","9.93K","-4.76%"
"05/28/2018","42.00","41.80","43.00","41.80","1.12K","0.48%"
"05/25/2018","41.80","40.70","41.80","40.00","1.38M","2.45%"
"05/24/2018","40.80","40.90","41.00","40.80","2.83K","-0.24%"
"05/23/2018","40.90","40.90","40.90","40.80","1.23K","-0.24%"
"05/22/2018","41.00","41.90","41.90","40.80","3.60K","0.49%"
"05/21/2018","40.80","40.80","41.00","40.80","1.91K","-0.49%"
"05/18/2018","41.00","41.00","41.00","41.00","9.03K","0.00%"
"05/17/2018","41.00","42.00","42.00","41.00","8.60K","-2.38%"
"05/16/2018","42.00","41.90","42.00","41.90","16.66K","0.24%"
"05/15/2018","41.90","42.00","42.00","41.90","10.17K","-0.24%"
"05/14/2018","42.00","42.10","42.10","42.00","14.45K","-1.41%"
"05/11/2018","42.60","42.40","43.00","42.40","18.00K","1.43%"
"05/10/2018","42.00","42.00","42.50","42.00","2.50K","0.00%"
"05/09/2018","42.00","42.00","42.00","42.00","1.08K","0.00%"
"05/08/2018","42.00","42.40","43.80","42.00","3.15K","-1.18%"
"05/04/2018","42.50","42.00","42.50","42.00","5.88K","0.00%"
"05/03/2018","42.50","42.30","42.50","42.30","7.15K","0.47%"
"05/02/2018","42.30","42.30","42.30","42.30","0.10K","-1.40%"
"05/01/2018","42.90","42.90","42.90","42.90","0.02K","1.42%"
"04/27/2018","42.30","42.30","42.90","42.30","0.39K","-0.47%"
"04/26/2018","42.50","42.60","42.60","42.50","0.33K","-0.23%"
"04/25/2018","42.60","42.80","42.80","42.60","2.35K","0.00%"
"04/24/2018","42.60","42.60","42.60","42.60","3.02K","0.00%"
"04/23/2018","42.60","43.80","43.80","42.60","1.00K","0.00%"
"04/20/2018","42.60","42.60","42.60","42.60","0.21K","0.00%"
"04/19/2018","42.60","42.60","42.60","42.60","5.90K","-0.70%"
"04/18/2018","42.90","43.00","43.00","42.90","5.02K","-0.23%"
"04/16/2018","43.00","43.80","43.80","43.00","1.90K","1.42%"
"04/12/2018","42.40","43.90","43.90","42.40","0.15K","-1.40%"
"04/11/2018","43.00","42.90","43.80","42.60","12.16K","1.18%"
"04/10/2018","42.50","42.90","42.90","42.50","0.50K","2.91%"
"04/09/2018","41.30","41.50","41.50","41.20","31.30K","-3.50%"
"04/06/2018","42.80","41.10","42.80","41.10","21.08K","3.88%"
"04/05/2018","41.20","42.80","42.80","41.00","3.31K","0.49%"
"04/04/2018","41.00","41.00","41.00","41.00","13.54K","0.00%"
"04/03/2018","41.00","41.10","41.10","40.90","0.44K","0.00%"
"04/02/2018","41.00","41.00","41.10","41.00","2.04K","0.00%"
"03/29/2018","41.00","41.90","41.90","41.00","31.52K","-1.20%"
"03/28/2018","41.50","41.50","41.50","41.20","14.10K","0.00%"
"03/27/2018","41.50","41.90","41.90","41.50","6.39K","1.22%"
"03/26/2018","41.00","41.10","41.50","41.00","12.21K","-0.24%"
"03/23/2018","41.10","41.50","41.50","41.00","6.30K","-0.96%"
"03/22/2018","41.50","41.80","41.80","41.50","5.37K","-0.48%"
