"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2022","14.60","15.00","15.00","14.40","19.29M","-3.31%"
"02/07/2022","15.10","15.60","15.80","14.90","14.38M","-2.58%"
"02/03/2022","15.50","14.60","15.70","14.30","31.93M","6.90%"
"02/02/2022","14.50","15.00","15.10","14.20","35.31M","-3.97%"
"02/01/2022","15.10","15.50","15.70","14.90","26.54M","-2.58%"
"01/31/2022","15.50","15.90","15.90","15.40","17.36M","-1.90%"
"01/28/2022","15.80","15.80","16.10","15.10","30.69M","0.64%"
"01/27/2022","15.70","16.40","16.60","14.60","46.71M","-4.27%"
"01/26/2022","16.40","16.60","16.70","16.30","22.89M","-0.61%"
"01/25/2022","16.50","16.80","16.90","16.40","20.37M","-1.79%"
"01/24/2022","16.80","16.90","17.00","16.70","20.94M","-0.59%"
"01/21/2022","16.90","16.90","17.00","16.80","19.95M","0.00%"
"01/20/2022","16.90","16.90","17.00","16.70","14.28M","0.00%"
"01/19/2022","16.90","16.90","17.10","16.80","15.90M","0.00%"
"01/18/2022","16.90","17.20","17.20","16.80","18.71M","-0.59%"
"01/13/2022","17.00","16.90","17.30","16.50","37.82M","0.00%"
"01/12/2022","17.00","17.20","17.30","16.80","27.75M","-1.16%"
"01/11/2022","17.20","17.20","17.40","16.90","39.87M","-1.71%"
"01/10/2022","17.50","18.30","18.40","17.20","64.22M","-3.85%"
"01/07/2022","18.20","18.90","19.00","18.10","42.42M","-2.15%"
"01/06/2022","18.60","18.50","19.10","18.20","51.78M","2.76%"
"01/05/2022","18.10","17.50","19.10","17.50","108.61M","4.02%"
"01/04/2022","17.40","17.60","17.60","16.90","45.20M","0.00%"
"01/03/2022","17.40","17.00","17.90","16.90","86.75M","6.10%"
"12/31/2021","16.40","15.00","16.50","14.80","95.00M","11.56%"
"12/30/2021","14.70","14.20","14.70","14.20","37.86M","3.52%"
"12/29/2021","14.20","14.40","14.50","14.10","19.54M","-1.39%"
"12/28/2021","14.40","14.40","14.40","14.20","8.02M","1.41%"
